Time,Diff_psi,Upstream_psi,ConfTemp_C,UpstreamTemp_C,DownstreamTemp_C
01/14/2016 04:32:48.984 PM,2.599992245,14.32531872,25.5022421,24.57145804,24.81345948
01/14/2016 04:32:50.984 PM,2.48435915,14.30257599,25.51159686,24.58926681,24.8017488
01/14/2016 04:32:52.984 PM,2.381952326,14.29080138,25.50855659,24.59043841,24.83172757
01/14/2016 04:32:54.984 PM,2.277464784,14.16982939,25.50434694,24.60871509,24.80291988
01/14/2016 04:32:56.984 PM,2.182025947,14.16724865,25.51229847,24.59606208,24.79893819
01/14/2016 04:32:58.984 PM,2.088764606,14.14353814,25.49826627,24.58856384,24.81580158
01/14/2016 04:33:00.984 PM,1.996003282,14.14676406,25.51533872,24.6035602,24.80971209
01/14/2016 04:33:02.984 PM,1.911693868,13.99514583,25.50434694,24.58692359,24.81627
01/14/2016 04:33:04.984 PM,1.827932861,13.97514513,25.50598403,24.59957684,24.80010928
01/14/2016 04:33:06.984 PM,1.75075273,13.98643585,25.53428141,24.59067274,24.81135158
01/14/2016 04:33:08.984 PM,1.673508081,13.85626999,25.50762111,24.59348458,24.79706444
01/14/2016 04:33:10.984 PM,1.600941015,13.85481832,25.5305397,24.59863958,24.80432517
01/14/2016 04:33:12.984 PM,1.531519221,13.83691447,25.4933549,24.58294009,24.80783839
01/14/2016 04:33:14.984 PM,1.46156515,13.81997839,25.52609639,24.58950113,24.8003435
01/14/2016 04:33:16.984 PM,1.399046825,13.8153008,25.51674191,24.60848078,24.80854103
01/14/2016 04:33:18.984 PM,1.337286591,13.81013933,25.51674191,24.5880952,24.82306203
01/14/2016 04:33:20.984 PM,1.287123538,13.71303915,25.51767736,24.59442185,24.81603579
01/14/2016 04:33:22.984 PM,1.224218102,13.62964912,25.50083887,24.61925901,24.82844873
01/14/2016 04:33:24.984 PM,1.16797419,13.63803651,25.51229847,24.58926681,24.8017488
01/14/2016 04:33:26.984 PM,1.122166129,13.6223908,25.50270984,24.59535913,24.81228843
01/14/2016 04:33:28.984 PM,1.068777157,13.61626155,25.52141917,24.58434603,24.8017488
01/14/2016 04:33:30.984 PM,1.026501478,13.62948782,25.51253233,24.57989386,24.8080726
01/14/2016 04:33:32.984 PM,0.979677252,13.62126173,25.49241939,24.59535913,24.79917241
01/14/2016 04:33:34.984 PM,0.939917791,13.60771287,25.5218869,24.60051411,24.81228843
01/14/2016 04:33:36.984 PM,0.890206367,13.57964736,25.50037112,24.59582776,24.80526203
01/14/2016 04:33:38.984 PM,0.853705084,13.56384036,25.50575016,24.57427,24.80455939
01/14/2016 04:33:40.984 PM,0.816332804,13.55077538,25.49920176,24.58551765,24.81158579
