Time,Diff_psi,Upstream_psi,ConfTemp_C,UpstreamTemp_C,DownstreamTemp_C
01/18/2016 01:59:57.630 PM,45.82486574,46.04853006,24.95419929,24.82540408,24.81931471
01/18/2016 01:59:58.630 PM,45.78465465,46.04804617,24.9719937,24.82774612,24.82821453
01/18/2016 01:59:59.630 PM,45.74592748,45.98175352,24.95981865,24.83336698,24.83477218
01/18/2016 02:00:00.630 PM,45.70374858,45.92836454,24.96122348,24.85538136,24.83570898
01/18/2016 02:00:01.630 PM,45.66715052,45.92691288,24.95841382,24.84601366,24.84226653
01/18/2016 02:00:02.630 PM,45.6275201,45.86626559,24.94530184,24.8188463,24.83430378
01/18/2016 02:00:03.630 PM,45.58680899,45.79368239,24.96216003,24.83383538,24.80854103
01/18/2016 02:00:04.630 PM,45.54771084,45.78416593,24.94108719,24.84929238,24.82587249
01/18/2016 02:00:05.630 PM,45.50740297,45.69222721,24.94623842,24.83711418,24.84741883
01/18/2016 02:00:06.630 PM,45.46949841,45.68335594,24.94389696,24.85538136,24.83430378
01/18/2016 02:00:07.630 PM,45.43109384,45.67432336,24.9607552,24.82306203,24.83289858
01/18/2016 02:00:08.630 PM,45.39144729,45.61561162,24.95841382,24.84320332,24.84226653
01/18/2016 02:00:09.630 PM,45.35054262,45.56512598,24.95185787,24.83524058,24.84741883
01/18/2016 02:00:10.630 PM,45.3116219,45.54706082,24.96543794,24.86521724,24.82915134
01/18/2016 02:00:11.630 PM,45.27292699,45.54593175,24.95935037,24.83711418,24.83430378
01/18/2016 02:00:12.630 PM,45.2351676,45.52964086,24.93827741,24.84460849,24.82915134
01/18/2016 02:00:13.630 PM,45.1948436,45.4272179,24.95794554,24.83289858,24.80900946
01/18/2016 02:00:14.630 PM,45.15597127,45.40431387,24.94904815,24.84554527,24.8441401
01/18/2016 02:00:15.630 PM,45.11824414,45.40124925,24.93125288,24.84273493,24.83008815
01/18/2016 02:00:16.630 PM,45.07825886,45.36124784,24.96731103,24.83336698,24.83196177
01/18/2016 02:00:17.630 PM,45.03746711,45.24882454,24.97152543,24.81697263,24.83805098
